Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
GURGAB,0,-7.2,10.3,11.3,-63,17.5,18.5,Minimum,Minimum,Correct TS
GURHAC,0,-7.9,-12.1,9.3,-63,-4.2,17.3,Minimum,Minimum,Correct TS
GURHAD,0,-8.5,13.2,7.2,-63,21.7,15.6,Minimum,Minimum,Correct TS
GURLOV,0,-5,14.8,11.5,-63,19.8,16.4,Minimum,Minimum,Correct TS
GUSRIV02,0,-1.8,-7.9,12.9,-63,-6.1,14.7,Minimum,Minimum,Correct TS
GUTFIK,0,-3.6,-14,15.5,-63,-10.4,19.1,Minimum,Minimum,Correct TS
GUTNIS,0,-6.4,12.1,11.3,-63,18.5,17.7,Minimum,Minimum,Correct TS
GUTYEB01,0,-8.1,44.6,8.3,-63,52.6,16.4,Minimum,Minimum,Correct TS
GUTZUS,0,-10.3,-0.1,8.5,-63,10.2,18.8,Minimum,Minimum,Correct TS
GUVBEG,0,-7.2,11,10.2,-63,18.2,17.5,Minimum,Minimum,Correct TS
GUVBII,0,-3.2,171.9,15,-63,175.1,18.2,Minimum,Minimum,Correct TS
GUVBIK,0,-4.9,12.8,11.5,-63,17.7,16.4,Minimum,Minimum,Correct TS
GUVHOW,0,-8.8,17.9,12.6,-63,26.7,21.4,Minimum,Minimum,Correct TS
GUVQOE,0,-1.1,17.1,11.9,-63,18.2,13.1,Minimum,Minimum,Correct TS
GUVZON,0,-11.3,4.2,8.2,-63,15.5,19.5,Minimum,Minimum,Correct TS
GUWCIL,0,-1.7,-5.7,18.2,-63,-4,19.9,Minimum,Minimum,Correct TS
GUWFIP,0,-8.3,5.1,8.3,-63,13.5,16.6,Minimum,Minimum,Correct TS
GUXVIF,0,-13.1,11.9,13.6,-63,25,26.7,Minimum,Minimum,Correct TS
GUZCEK,0,-5.9,14.6,12.9,-63,20.4,18.8,Minimum,Minimum,Correct TS
GUZCIO,0,-5.8,15.3,12.5,-63,21.1,18.3,Minimum,Minimum,Correct TS
GUZCOU,0,-6.3,20.4,11.4,-63,26.7,17.7,Minimum,Minimum,Correct TS
GUZFUE,0,-8.1,9.9,12.8,-63,18,20.8,Minimum,Minimum,Correct TS
GUZMUK,0,-12,5.5,9.6,-63,17.5,21.6,Minimum,Minimum,Correct TS
GUZSAX,0,-3.4,-7.4,13.7,-63,-4,17.1,Minimum,Minimum,Correct TS
GUZZAD,0,1.4,16.7,11.8,-63,16.7,11.8,Minimum,Minimum,Correct TS
HABVAJ,0,-5.8,15.8,12.4,-63,21.6,18.2,Minimum,Minimum,Correct TS
HABVAK,0,-15.3,-11.4,12.5,-63,3.9,27.9,Minimum,Minimum,Correct TS
HABVEN,0,-6.3,15.1,11.7,-63,21.4,18,Minimum,Minimum,Correct TS
HABXEO,0,-4.2,13.9,11.5,-63,18.1,15.7,Minimum,Minimum,Correct TS
HABXOX,0,-3,-5.5,15.7,-63,-2.5,18.7,Minimum,Minimum,Correct TS
HABYEQ,0,-12.9,2.3,8,-63,15.2,20.9,Minimum,Minimum,Correct TS
HACBAO,0,-2.4,-4.9,13.3,-63,-2.5,15.7,Minimum,Minimum,Correct TS
HACFEW,0,-17.9,8.6,7.3,-63,26.5,25.2,Minimum,Minimum,Correct TS
HACMAC,0,-4.4,-1.6,16.2,-63,2.7,20.5,Minimum,Minimum,Correct TS
HACMUT,0,-7.3,19.4,10.9,-63,26.7,18.2,Minimum,Minimum,Correct TS
HACNUV,0,-12.2,-10.6,8.2,-63,1.6,20.4,Minimum,Minimum,Correct TS
HACPAD,0,-12.4,-13,8.1,-63,-0.6,20.5,Minimum,Minimum,Correct TS
HADDOF,0,-70.4,-63.5,-49,-63,6.9,21.4,Minimum,Minimum,Correct TS
HADYIU,0,-12.9,-11,13.1,-63,2,26,Minimum,Minimum,Correct TS
HAGGIF,0,-2.6,-5.4,18.2,-63,-2.8,20.8,Minimum,Minimum,Correct TS
HAGPOV,0,-3.8,16,10.4,-63,19.8,14.2,Minimum,Minimum,Correct TS
HAGQIQ,0,-2.2,17.8,13.5,-63,20,15.7,Minimum,Minimum,Correct TS
HAGXES,0,1.6,5.7,18.9,-63,5.7,18.9,Minimum,Minimum,Correct TS
HAGZEX,0,-7.4,12.5,13.3,-63,19.9,20.7,Minimum,Minimum,Correct TS
HAGZOH01,0,-8.1,14.3,13.5,-63,22.4,21.6,Minimum,Minimum,Correct TS
HAHFAX,0,-14.1,5.5,8.6,-63,19.6,22.7,Minimum,Minimum,Correct TS
HAHGAA,0,0.2,20.3,18.8,-63,20.3,18.8,Minimum,Minimum,Correct TS
HAHHED01,0,-2.8,-9.8,19.1,-63,-7.1,21.9,Minimum,Minimum,Correct TS
HAHHIK,0,-5.9,5.7,7.4,-63,11.6,13.3,Minimum,Minimum,Correct TS
HAHJAC,0,-7.2,-5.2,13.3,-63,2,20.5,Minimum,Minimum,Correct TS
HAHQOZ,0,-7.5,-9.7,13.2,-63,-2.2,20.8,Minimum,Minimum,Correct TS
HAHZEV,0,4.9,-11.8,22.6,-63,-11.8,22.6,Minimum,Minimum,Correct TS
HAJMOU,0,-9.2,9.2,10.9,-63,18.4,20.1,Minimum,Minimum,Correct TS
HALJUB,0,-13.4,13.8,13.2,-63,27.2,26.6,Minimum,Minimum,Correct TS
HALLOV,0,-2.4,13.6,13.5,-63,16,16,Minimum,Minimum,Correct TS
HALVEX,0,-9,6.3,6.8,-63,15.3,15.8,Minimum,Minimum,Correct TS
HALWEZ,0,-15,13.3,10.7,-63,28.3,25.7,Minimum,Minimum,Correct TS
HAMBAB,0,-4.2,-11.8,14.6,-63,-7.6,18.8,Minimum,Minimum,Correct TS
HAMBUA,0,-21.3,9.4,3.5,-63,30.7,24.7,Minimum,Minimum,Correct TS
HAMDAD,0,-8,2.1,12.7,-63,10.1,20.6,Minimum,Minimum,Correct TS
HAMHUZ,0,-16.7,-6.8,-12.3,-63,9.9,4.4,Minimum,Minimum,Correct TS
HAMLIQ,0,-2.7,-7.3,19.3,-63,-4.5,22,Minimum,Minimum,Correct TS
HAMXEA,0,No Value,-13.9,21.7,-63,No Value,No Value,Minimum,Minimum,Correct TS
HAMXOL,0,-3.2,19.9,13.9,-63,23,17.1,Minimum,Minimum,Correct TS
HANCEG,0,-6.2,-1.1,13.5,-63,5.2,19.7,Minimum,Minimum,Correct TS
HANCIL,0,-6.4,-5.9,12.8,-63,0.6,19.2,Minimum,Minimum,Correct TS
HANDAE,0,-5.6,-6,13.7,-63,-0.4,19.3,Minimum,Minimum,Correct TS
HANDEI,0,-6.3,-6.3,13.1,-63,0,19.4,Minimum,Minimum,Correct TS
HANDOS,0,-6.6,-4.7,12.8,-63,1.9,19.4,Minimum,Minimum,Correct TS
HANDUY,0,-6.8,-5.6,13.1,-63,1.1,19.8,Minimum,Minimum,Correct TS
HANGAF,0,-11.4,-0.4,6.3,-63,11,17.6,Minimum,Minimum,Correct TS
HANGOV,0,-11.2,-15.3,8,-63,-4.1,19.2,Minimum,Minimum,Correct TS
HANJOX,0,-1.1,-8.1,11.7,-63,-6.9,12.9,Minimum,Minimum,Correct TS
HANMAM,0,-6.4,10.2,11.8,-63,16.6,18.2,Minimum,Minimum,Correct TS
HANNOZ,0,-4.9,-13.7,9.2,-63,-8.8,14.1,Minimum,Minimum,Correct TS
HAPLOC10,0,-6.9,-2.6,18.8,-63,4.3,25.7,Minimum,Minimum,Correct TS
HAQBIK,0,-8.1,6,8.3,-63,14,16.3,Minimum,Minimum,Correct TS
HARMUL,0,-5.5,15.1,12.7,-63,20.6,18.2,Minimum,Minimum,Correct TS
HARZUY,0,-10.5,7.9,7.5,-63,18.4,18,Minimum,Minimum,Correct TS
HASBUY,0,-0.7,17.6,14.8,-63,18.4,15.5,Minimum,Minimum,Correct TS
HASCEJ,0,-16.5,-1.9,13.7,-63,14.7,30.3,Minimum,Minimum,Correct TS
HASDAG,0,-4.1,-4.1,15.8,-63,0.1,19.9,Minimum,Minimum,Correct TS
HASDOU,0,-5.6,-2.4,11.4,-63,3.2,17,Minimum,Minimum,Correct TS
HASWAC,0,-3.5,-8.1,19.8,-63,-4.6,23.3,Minimum,Minimum,Correct TS
HATPIC,0,-7,-6.8,8.2,-63,0.2,15.1,Minimum,Minimum,Correct TS
HATWUX,0,-14,-10.5,11.5,-63,3.5,25.5,Minimum,Minimum,Correct TS
HAVBIR,0,-6.6,-3,11,-63,3.5,17.6,Minimum,Minimum,Correct TS
HAVJIX,0,-9.9,-1.6,6.5,-63,8.3,16.4,Minimum,Minimum,Correct TS
HAVXIO,0,-4.9,-9.5,12.1,-63,-4.7,17,Minimum,Minimum,Correct TS
HAXHOG,0,-3.8,-2,13.8,-63,1.7,17.5,Minimum,Minimum,Correct TS
HAXLID,0,-9.7,15.1,11.7,-63,24.8,21.5,Minimum,Minimum,Correct TS
HAXLOJ,0,-9.7,15.3,11.5,-63,25,21.2,Minimum,Minimum,Correct TS
HAXLUP,0,-8.4,19.5,11.4,-63,27.9,19.8,Minimum,Minimum,Correct TS
HAXPAX,0,-20.7,-14,1.5,-63,6.7,22.2,Minimum,Minimum,Correct TS
HAXQAA,0,-7.6,-9.1,8.3,-63,-1.5,15.9,Minimum,Minimum,Correct TS
HAXRII,0,-15,1.4,6.5,-63,16.4,21.6,Minimum,Minimum,Correct TS
HAXXIQ,0,-12.3,-10.7,14.8,-63,1.6,27,Minimum,Minimum,Correct TS
HAYCAM,0,-2.2,-9.3,12.9,-63,-7.1,15.1,Minimum,Minimum,Correct TS
HAYWIO,0,-3.6,-8.1,11.8,-63,-4.4,15.5,Minimum,Minimum,Correct TS
HAZFEW,0,-8.7,9.4,8.5,-63,18.2,17.2,Minimum,Minimum,Correct TS
HBAZOO10,0,-4.7,-12,11.1,-63,-7.4,15.8,Minimum,Minimum,Correct TS
HBPIIQ10,0,-4.4,-10.2,11.4,-63,-5.7,15.9,Minimum,Minimum,Correct TS
HBZTHP,0,-6.5,-9.7,12.4,-63,-3.2,18.9,Minimum,Minimum,Correct TS
HCITEN10,0,-15,-25.4,18.5,-63,-10.4,33.5,Minimum,Minimum,Correct TS
HDOPAC,0,-1.9,-4.8,18,-63,-2.9,20,Minimum,Minimum,Correct TS
HDOPAM,0,-2.1,-11.5,17.4,-63,-9.4,19.5,Minimum,Minimum,Correct TS
HEBGEA,0,-14.1,-0.3,7.3,-63,13.8,21.5,Minimum,Minimum,Correct TS
HEBKEF,0,-2.4,-2,13,-63,0.5,15.4,Minimum,Minimum,Correct TS
HECCAT,0,-11.7,24.2,9.3,-63,36,21,Minimum,Minimum,Correct TS
HECDEY,0,-1.6,-5.8,19.1,-63,-4.2,20.7,Minimum,Minimum,Correct TS
HECHAY01,0,-3.1,14.2,13.7,-63,17.3,16.9,Minimum,Minimum,Correct TS
HECKOS,0,-7.2,12.7,10.1,-63,19.9,17.3,Minimum,Minimum,Correct TS
HECMAG,0,-17.9,-1.6,10.8,-63,16.3,28.7,Minimum,Minimum,Correct TS
HECPAJ02,0,-6.4,14.3,10.2,-63,20.8,16.7,Minimum,Minimum,Correct TS
HEFTOE,0,-3.6,-0.5,12.6,-63,3.1,16.2,Minimum,Minimum,Correct TS
HEFXIB,0,-12.7,11.6,12.8,-63,24.2,25.5,Minimum,Minimum,Correct TS
HEGBAY,0,-3.6,-12.9,19.9,-63,-9.3,23.5,Minimum,Minimum,Correct TS
HEGHEH,0,-26.9,-3.6,18,-63,23.4,45,Minimum,Minimum,Correct TS
HEGJAE,0,-1.3,6,14.5,-63,7.4,15.8,Minimum,Minimum,Correct TS
HEGKUB,0,-6.5,4.8,16.8,-63,11.3,23.3,Minimum,Minimum,Correct TS
HEGNIS,0,-8.1,-7,12.3,-63,1.1,20.5,Minimum,Minimum,Correct TS
HEGXUM,0,-13.6,-8,12.7,-63,5.6,26.3,Minimum,Minimum,Correct TS
HEHNOA01,0,-0.7,20.8,10.7,-63,21.4,11.4,Minimum,Minimum,Correct TS
HEJBIH,0,-11.9,20,10.7,-63,31.9,22.5,Minimum,Minimum,Correct TS
HEJJAJ,0,1.3,4.3,18.5,-63,4.3,18.5,Minimum,Minimum,Correct TS
HEJSUN,0,-7.5,20.3,11.8,-63,27.8,19.4,Minimum,Minimum,Correct TS
HEJZON,0,-14.3,-8.5,6.3,-63,5.8,20.6,Minimum,Minimum,Correct TS
HEKMOC,0,-12.3,7.3,10.6,-63,19.7,22.9,Minimum,Minimum,Correct TS
HEKVOI,0,-8.1,14.9,13.4,-63,23,21.5,Minimum,Minimum,Correct TS
HEKVUO,0,-5.6,10.7,14.9,-63,16.4,20.5,Minimum,Minimum,Correct TS
HEKWAV,0,-4.5,-8.2,9.8,-63,-3.7,14.3,Minimum,Minimum,Correct TS
HELHUD,0,-16.3,-7.6,2,-63,8.7,18.2,Minimum,Minimum,Correct TS
HELZAC,0,-8.9,5.2,14.7,-63,14.2,23.6,Minimum,Minimum,Correct TS
HEMWAX,0,-13.4,-7.4,13.9,-63,6,27.3,Minimum,Minimum,Correct TS
HEMXEC,0,-11.6,13.8,9.4,-63,25.4,21,Minimum,Minimum,Correct TS
HENHAM,0,-9,12.8,9.4,-63,21.8,18.4,Minimum,Minimum,Correct TS
HEPFUD,0,-13.9,10.1,9,-63,24,22.8,Minimum,Minimum,Correct TS
HEPHIU,0,-7.7,-7.1,13,-63,0.6,20.7,Minimum,Minimum,Correct TS
HEPNAR01,0,-2.3,-7.4,15.1,-63,-5.1,17.4,Minimum,Minimum,Correct TS
HEPPUO,0,-1.8,21,15.5,-63,22.9,17.3,Minimum,Minimum,Correct TS
HEPRAY,0,-3,-8.3,17.9,-63,-5.3,21,Minimum,Minimum,Correct TS
HEQWUY,0,-16,13,11.2,-63,29,27.2,Minimum,Minimum,Correct TS
HERLOG,0,-10.6,12.8,10.8,-63,23.4,21.4,Minimum,Minimum,Correct TS
HESCOY,0,-12.7,12.8,11.9,-63,25.4,24.5,Minimum,Minimum,Correct TS
HESRUS10,0,-9.6,-2.2,11.1,-63,7.4,20.7,Minimum,Minimum,Correct TS
HESTOP,0,-3.5,-8,17.5,-63,-4.5,21,Minimum,Minimum,Correct TS
HETTUY,0,-16.3,7.3,8,-63,23.7,24.3,Minimum,Minimum,Correct TS
HEVDIW,0,2.5,58.3,17,-63,58.3,17,Minimum,Minimum,Correct TS
HEWLOL01,0,-12.4,6.8,6.7,-63,19.2,19.1,Minimum,Minimum,Correct TS
HEWMED,0,-2.1,3.3,17.9,-63,5.4,20.1,Minimum,Minimum,Correct TS
HEWRAD02,0,-16.4,4.7,2.7,-63,21.2,19.1,Minimum,Minimum,Correct TS
HEWVAH,0,-5.1,23,20.7,-63,28.1,25.8,Minimum,Minimum,Correct TS
HEXKAZ,0,-13.3,-0.9,5.8,-63,12.4,19.1,Minimum,Minimum,Correct TS
HEXVEL,0,-22.2,-11.4,12.9,-63,10.8,35.1,Minimum,Minimum,Correct TS
HEYJIE,0,-6.8,11.3,11.9,-63,18.1,18.7,Minimum,Minimum,Correct TS
HEZNAE,0,-12.2,9.2,8.9,-63,21.4,21.1,Minimum,Minimum,Correct TS
HEZSAJ,0,4.5,6.3,17.6,-63,6.3,17.6,Minimum,Minimum,Correct TS
HEZVIS,0,-2.5,-10.6,15.1,-63,-8.1,17.7,Minimum,Minimum,Correct TS
HEZWIT,0,-7.9,7.5,9.9,-63,15.4,17.8,Minimum,Minimum,Correct TS
HEZYUJ,0,-8.5,16.3,8.7,-63,24.8,17.2,Minimum,Minimum,Correct TS
HIBISC10,0,-0.5,2.3,21.9,-63,2.8,22.4,Minimum,Minimum,Correct TS
HIBJEH,0,-15.5,-0.4,5.8,-63,15,21.2,Minimum,Minimum,Correct TS
HIBJIM,0,-4.1,-2.5,15,-63,1.6,19.1,Minimum,Minimum,Correct TS
HIBKAE,0,-12.5,-16.6,8.5,-63,-4.2,21,Minimum,Minimum,Correct TS
HIBYEW,0,-9.8,12.1,11.8,-63,21.9,21.6,Minimum,Minimum,Correct TS
HIBZOH,0,-10.9,14.1,9.9,-63,25.1,20.8,Minimum,Minimum,Correct TS
HICHIN,0,-10.6,-27.3,8,-63,-16.7,18.5,Minimum,Minimum,Correct TS
HICSET,0,-5.9,15.6,10.9,-63,21.5,16.8,Minimum,Minimum,Correct TS
HICVUL01,0,-14.1,-10,10.8,-63,4.1,24.9,Minimum,Minimum,Correct TS
HICYAW,0,-4.2,-3.3,10.9,-63,0.9,15.1,Minimum,Minimum,Correct TS
HIDNAJ,0,-7.2,12.1,7.5,-63,19.3,14.7,Minimum,Minimum,Correct TS
HIDQOD,0,-10.2,22.2,6.6,-63,32.4,16.8,Minimum,Minimum,Correct TS
HIDWAT,0,-11.7,11.3,10,-63,23,21.7,Minimum,Minimum,Correct TS
HIDWUN,0,-14.2,4.7,9.4,-63,18.9,23.6,Minimum,Minimum,Correct TS
HIDYEZ,0,0.1,18.7,14.5,-63,18.7,14.5,Minimum,Minimum,Correct TS
HIFCEG,0,-3.8,0.7,12,-63,4.5,15.8,Minimum,Minimum,Correct TS
HIFFAD,0,-5.3,-9.4,20.4,-63,-4.1,25.7,Minimum,Minimum,Correct TS
HIFVUQ,0,-0.8,17.8,11.3,-63,18.6,12.2,Minimum,Minimum,Correct TS
HIFWAX,0,-0.9,17.6,11.5,-63,18.5,12.4,Minimum,Minimum,Correct TS
HIGCAB,0,-4.1,21.6,12.4,-63,25.7,16.6,Minimum,Minimum,Correct TS
HIGSIB,0,-6.2,2.6,11.4,-63,8.8,17.5,Minimum,Minimum,Correct TS
HIHCAF,0,-7.3,14,13.1,-63,21.3,20.4,Minimum,Minimum,Correct TS
HIHCEH,0,-7,12.4,11,-63,19.5,18.1,Minimum,Minimum,Correct TS
HIHCEJ,0,-5,-7.2,10.4,-63,-2.3,15.3,Minimum,Minimum,Correct TS
HIHHIP,0,-0.3,-17.6,19.9,-63,-17.4,20.1,Minimum,Minimum,Correct TS
HIHHIS,0,-9.2,6.4,5.9,-63,15.6,15.1,Minimum,Minimum,Correct TS
HIHKUE01,0,-14.6,-8.3,11.7,-63,6.2,26.2,Minimum,Minimum,Correct TS
HIHLAL,0,-14.6,-9.9,12.5,-63,4.7,27.1,Minimum,Minimum,Correct TS
HIHNIV,0,-7.8,14.5,12.5,-63,22.4,20.4,Minimum,Minimum,Correct TS
HIHPIY,0,-5.5,11.7,13.6,-63,17.3,19.1,Minimum,Minimum,Correct TS
HIHZUT,0,-11.2,2.5,11.3,-63,13.7,22.4,Minimum,Minimum,Correct TS
HIJBEK,0,-10.7,11.3,12.1,-63,21.9,22.8,Minimum,Minimum,Correct TS
HIJFIP01,0,-2.4,4.7,15.2,-63,7.1,17.6,Minimum,Minimum,Correct TS
HIJVOO,0,-8.7,15.7,11.3,-63,24.4,20,Minimum,Minimum,Correct TS
HIJYAB,0,-10.8,52.7,12.4,-63,63.5,23.2,Minimum,Minimum,Correct TS
HILLOE,0,-8.4,3.2,8.7,-63,11.5,17.1,Minimum,Minimum,Correct TS
HILMEV,0,-10.5,12,10.9,-63,22.5,21.3,Minimum,Minimum,Correct TS
HILVAA,0,-10.2,7.5,7.8,-63,17.7,18,Minimum,Minimum,Correct TS
HIMBIQ,0,-13.3,-13.4,8.5,-63,-0.1,21.8,Minimum,Minimum,Correct TS
HIMMAL,0,-5.4,13.3,12,-63,18.7,17.4,Minimum,Minimum,Correct TS
HIMMOG,0,-10,-7.4,13.8,-63,2.5,23.8,Minimum,Minimum,Correct TS
HIMPEO,0,-16.7,-5.1,4.9,-63,11.6,21.6,Minimum,Minimum,Correct TS
HIMZEK,0,-7.3,9.5,8.8,-63,16.7,16.1,Minimum,Minimum,Correct TS
HINBAJ,0,-10.3,17.9,12.8,-63,28.2,23.1,Minimum,Minimum,Correct TS
HINJOG,0,-6.4,12.7,9.7,-63,19.1,16,Minimum,Minimum,Correct TS
HIPFUH01,0,-12.7,-9.5,13.1,-63,3.2,25.8,Minimum,Minimum,Correct TS
HIPGES,0,-12.4,-8.9,13.5,-63,3.4,25.9,Minimum,Minimum,Correct TS
HIPWIN,0,-9.4,9.5,13.6,-63,19,23,Minimum,Minimum,Correct TS
HIQJAS,0,-7.1,-13.2,12.1,-63,-6,19.3,Minimum,Minimum,Correct TS
HIQJEW,0,-13.1,-6,12.8,-63,7.1,26,Minimum,Minimum,Correct TS
HIQKEX,0,-3.2,-4.7,12.7,-63,-1.6,15.9,Minimum,Minimum,Correct TS
HIQNAW,0,-5.6,11.1,10.4,-63,16.7,16,Minimum,Minimum,Correct TS
HIQNIE,0,-12.6,-13.5,13.1,-63,-0.9,25.7,Minimum,Minimum,Correct TS
HIRBAM,0,-6,9.4,10.4,-63,15.4,16.4,Minimum,Minimum,Correct TS
HIRDES,0,-13.7,10.6,8.7,-63,24.4,22.5,Minimum,Minimum,Correct TS
HIRHIB,0,-9.6,7.2,39.4,-63,16.8,49,Minimum,Minimum,Correct TS
HIRKEZ,0,-6.9,-7.9,12.7,-63,-0.9,19.6,Minimum,Minimum,Correct TS
HIRPUT,0,-9,-40.4,8.1,-63,-31.3,17.1,Minimum,Minimum,Correct TS
HIRREH01,0,0,-2.1,18.3,-63,-2.1,18.3,Minimum,Minimum,Correct TS
HIRRIK,0,-6,13,11.3,-63,19.1,17.4,Minimum,Minimum,Correct TS
HISBOB,0,-3.1,-8.6,17.4,-63,-5.5,20.5,Minimum,Minimum,Correct TS
HISCAO,0,-10.7,-3.2,16.2,-63,7.5,26.9,Minimum,Minimum,Correct TS
HISGOG,0,-4.5,-8.2,11.8,-63,-3.7,16.2,Minimum,Minimum,Correct TS
HISMAA,0,-7.9,18.2,10.1,-63,26.1,18,Minimum,Minimum,Correct TS
HISRIM,0,-7.1,-10.9,13.8,-63,-3.8,20.9,Minimum,Minimum,Correct TS
HISXOZ01,0,-16.5,1.2,11,-63,17.7,27.5,Minimum,Minimum,Correct TS
HISZER,0,-6.1,17.2,12.8,-63,23.3,18.9,Minimum,Minimum,Correct TS
HITKON,0,-14.8,-6.9,10.9,-63,7.9,25.7,Minimum,Minimum,Correct TS
HITLII,0,-14.8,-6.4,11.8,-63,8.5,26.7,Minimum,Minimum,Correct TS
HITPEI,0,-8.4,19.4,13.9,-63,27.8,22.3,Minimum,Minimum,Correct TS
HITQUW,0,-5.2,15.1,13.9,-63,20.3,19.1,Minimum,Minimum,Correct TS
HITSOV,0,-6.7,-8.1,14.2,-63,-1.5,20.9,Minimum,Minimum,Correct TS
HITSUB,0,-8,-9.3,12.7,-63,-1.3,20.7,Minimum,Minimum,Correct TS
HITWAJ,0,-3.5,15.8,10.4,-63,19.3,13.8,Minimum,Minimum,Correct TS
HITYUF,0,-11,16,13.8,-63,27,24.8,Minimum,Minimum,Correct TS
HITZEQ,0,-5.5,11.8,10.1,-63,17.3,15.6,Minimum,Minimum,Correct TS
HIVBET,0,-2.9,-9.4,15.2,-63,-6.6,18.1,Minimum,Minimum,Correct TS
HIVGAW01,0,-22.7,4.9,0.7,-63,27.6,23.4,Minimum,Minimum,Correct TS
HIVLAA01,0,-9.2,-3.2,13.2,-63,6,22.3,Minimum,Minimum,Correct TS
HIVTEM,0,-3.9,19.4,12.5,-63,23.3,16.4,Minimum,Minimum,Correct TS
HIVVEO,0,-12.5,-6.8,14.5,-63,5.7,27,Minimum,Minimum,Correct TS
HIWREM,0,-2.5,18.3,12.6,-63,20.8,15.1,Minimum,Minimum,Correct TS
HIXPAH,0,-3.6,15.1,12,-63,18.7,15.5,Minimum,Minimum,Correct TS
HIXWUJ,0,-3.6,-9.5,12.5,-63,-5.8,16.2,Minimum,Minimum,Correct TS
HIYFIE,0,-3.5,-9.1,12.5,-63,-5.6,16,Minimum,Minimum,Correct TS
HIYFUQ,0,-5.3,14.2,11.9,-63,19.5,17.2,Minimum,Minimum,Correct TS
HIYKEF,0,-13.4,226.1,12.1,-63,239.5,25.5,Minimum,Minimum,Correct TS
HIZHII,0,-20.6,-11.6,4.1,-63,9,24.6,Minimum,Minimum,Correct TS
HIZSIV,0,-14,-7.7,11.8,-63,6.3,25.8,Minimum,Minimum,Correct TS
HMALAC01,0,-1.1,-6,16.4,-63,-4.9,17.5,Minimum,Minimum,Correct TS
HMAUNA20,0,-13.4,-1.6,13.3,-63,11.8,26.7,Minimum,Minimum,Correct TS
HNBOCL,0,-13.3,-2.2,13.9,-63,11.1,27.2,Minimum,Minimum,Correct TS
HOCLAO,0,-5.1,-5.3,12.9,-63,-0.2,18,Minimum,Minimum,Correct TS
HOCMIW,0,-4.3,-6,13.9,-63,-1.6,18.3,Minimum,Minimum,Correct TS
HODJEQ,0,-7.5,16.8,13.8,-63,24.3,21.3,Minimum,Minimum,Correct TS
HODLOC,0,-2.9,-2.6,14.8,-63,0.3,17.7,Minimum,Minimum,Correct TS
HODMAP,0,-3.2,-6.5,17.8,-63,-3.3,21,Minimum,Minimum,Correct TS
HODNEU,0,-5.8,-6.6,14.5,-63,-0.8,20.3,Minimum,Minimum,Correct TS
HODTEA,0,-0.9,3.1,11.4,-63,4,12.3,Minimum,Minimum,Correct TS
HODTUQ,0,-8.5,11.7,8.6,-63,20.2,17.2,Minimum,Minimum,Correct TS
HODXAA,0,-8,7.9,9.1,-63,15.9,17.1,Minimum,Minimum,Correct TS
HODYOP,0,-15.8,-8.4,13.1,-63,7.4,28.9,Minimum,Minimum,Correct TS
HOFLUK01,0,-2.1,-4.8,12,-63,-2.8,14.1,Minimum,Minimum,Correct TS
HOFNEW01,0,-9.7,-34.3,17.5,-63,-24.6,27.2,Minimum,Minimum,Correct TS
HOFRIE,0,-3.3,12.1,10.2,-63,15.5,13.5,Minimum,Minimum,Correct TS
HOFVAA,0,-13.8,-9.7,12.7,-63,4.2,26.5,Minimum,Minimum,Correct TS
HOFWAB01,0,-9.8,7.5,7.3,-63,17.3,17,Minimum,Minimum,Correct TS
HOGZIN,0,-9.4,-0.6,15.2,-63,8.9,24.6,Minimum,Minimum,Correct TS
HOHHUI,0,-7.1,-8,13.8,-63,-0.9,20.8,Minimum,Minimum,Correct TS
HOHJAQ,0,-7.4,-10.6,14.6,-63,-3.2,22.1,Minimum,Minimum,Correct TS
HOHRIF,0,-7.9,8.2,8.1,-63,16.2,16.1,Minimum,Minimum,Correct TS
HOINSX,0,-8.9,106.7,11.4,-63,115.7,20.4,Minimum,Minimum,Correct TS
HOJCUG,0,-8,20.5,8.1,-63,28.6,16.1,Minimum,Minimum,Correct TS
HOJKEY,0,-13.8,-13.4,12.4,-63,0.4,26.1,Minimum,Minimum,Correct TS
HOJTUW,0,-16.4,13.7,8.8,-63,30.1,25.2,Minimum,Minimum,Correct TS
HOJYIR,0,-13.5,-17.9,9.2,-63,-4.4,22.6,Minimum,Minimum,Correct TS
HOJZEN,0,-7.7,-10.1,13.2,-63,-2.5,20.9,Minimum,Minimum,Correct TS
HOJZUB,0,-11.7,-23.2,10.4,-63,-11.5,22.1,Minimum,Minimum,Correct TS
HOKNON,0,-10.4,18.1,11.6,-63,28.5,22,Minimum,Minimum,Correct TS
HOKPIJ,0,-5.3,20.4,15.8,-63,25.7,21.2,Minimum,Minimum,Correct TS
HOKREG,0,-4.9,14.2,28.1,-63,19.1,32.9,Minimum,Minimum,Correct TS
HOKSEH,0,-11.9,-2.5,8.9,-63,9.4,20.8,Minimum,Minimum,Correct TS
HOKTIL,0,-8.1,10.4,9.2,-63,18.4,17.3,Minimum,Minimum,Correct TS
HOKVOU,0,-0.9,-11.2,20.7,-63,-10.3,21.6,Minimum,Minimum,Correct TS
