Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
NAHKOZ,0,-3.7,-9.6,13.3,-63,-5.9,17,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAHRIX,0,-19.2,-9.8,2.8,-63,9.4,22,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAHTAS,0,-4.9,17.5,13.3,-63,22.5,18.2,Minimum,Minimum,Correct TS,Correct TS
NAHWUS,0,-9.1,-12.4,13.6,-63,-3.3,22.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAJCUX,0,641.7,-18.3,22.6,-63,-18.3,22.6,Minimum,Not Minimum,Incorrect TS,Incorrect TS
NAKGEO01,0,-7.5,15.1,10.3,-63,22.6,17.8,Minimum,Not Minimum,Correct TS,Correct TS
NAKHUG,0,-13.9,-9.6,13.5,-63,4.3,27.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAKKIX,0,-3.3,14.8,11.2,-63,18.1,14.5,Minimum,Minimum,Correct TS,Correct TS
NAKZOR,0,-13.8,-6.4,8.8,-63,7.4,22.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAKZUU,0,-12.8,-6,7,-63,6.8,19.9,Minimum,Minimum,Incorrect TS,Correct TS
NALCYS28,0,1.4,4.6,14.2,-63,4.6,14.2,Minimum,Not Minimum,Incorrect TS,Correct TS
NALPOG,0,-16.5,3.7,6.2,-63,20.2,22.7,Not Minimum,Minimum,Correct TS,Correct TS
NALYEH,0,-9.5,14.6,9.7,-63,24.1,19.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAMALN10,0,-2.5,-6.4,17.2,-63,-3.9,19.7,Minimum,Minimum,Incorrect TS,Correct TS
NAMLUL,0,-3.3,-348010.2,16.3,-63,-348007,19.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAMMOE,0,-13.2,11.5,10.5,-63,24.6,23.6,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NAMPAT,0,-4.2,3.6,9.8,-63,7.8,13.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAMPIB,0,-6.2,11.9,10.5,-63,18,16.6,Minimum,Minimum,Correct TS,Correct TS
NAMQIE,0,-17.7,-0.4,13.1,-63,17.3,30.8,Minimum,Minimum,Incorrect TS,Correct TS
NAMVEC,0,-11,9.4,9.9,-63,20.4,20.9,Not Minimum,Minimum,Correct TS,Correct TS
NAMVOM,0,-1.6,-12.8,19.3,-63,-11.2,20.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAMYIJ,0,-7.9,-1.3,14.8,-63,6.7,22.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NANGEO,0,-21.4,-12.6,-7.8,-63,8.8,13.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NANGIS,0,-22,-10.7,-10.2,-63,11.3,11.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NANLIY,0,-20.4,-7.1,-7.2,-63,13.4,13.3,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NANMAQ,0,-8.3,-5.9,13.7,-63,2.4,22,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NANMOH,0,-0.4,-8.9,-35.7,-63,-8.5,-35.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NANPCX,0,-13.2,282.5,306.8,-63,295.6,320,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NANQEZ,0,-7.3,-10.2,12.9,-63,-3,20.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAPBEO,0,-0.8,-7.2,18.2,-63,-6.4,19,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAPDCX,0,-6.7,-11.4,13.2,-63,-4.7,19.8,Minimum,Minimum,Incorrect TS,Correct TS
NAPHYZ02,0,-5.5,15.6,13.5,-63,21.1,19,Minimum,Not Minimum,Correct TS,Correct TS
NAPRUT,0,-9.9,9.7,14.1,-63,19.6,24,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAQLUO,0,-1.5,-6,20.6,-63,-4.5,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAQMEA,0,-1.2,-10.1,15.6,-63,-8.9,16.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAQNOJ,0,-2.6,93.8,25.7,-63,96.4,28.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAQQOO,0,-18.9,-4.9,-4.8,-63,14.1,14.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NAQXEL,0,-7.4,11.4,12.8,-63,18.8,20.2,Minimum,Minimum,Correct TS,Correct TS
NARBAJ,0,-2.4,17.2,23.5,-63,19.6,25.8,Minimum,Minimum,Correct TS,Correct TS
NARCAN,0,-3.8,33.9,28.7,-63,37.7,32.5,Minimum,Minimum,Correct TS,Correct TS
NARCER,0,-12.2,-2.9,7.9,-63,9.3,20.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NARDAO,0,-6.3,-11.4,12.8,-63,-5.1,19.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NARNOL,0,-28.4,-21.2,-15.3,-63,7.2,13.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NARQED,0,-5.5,-8.6,12.9,-63,-3.1,18.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NARQIH,0,-652.9,-634.4,-583.9,-63,18.5,69,Not Minimum,Not Minimum,Correct TS,Calc Fail
NARVUX,0,-13.7,-12,12.4,-63,1.6,26.1,Not Minimum,Minimum,Incorrect TS,Correct TS
NARXEJ,0,-11.8,-10.5,10.7,-63,1.3,22.5,Minimum,Minimum,Incorrect TS,Correct TS
NARXIN,0,-4,-9.6,10.7,-63,-5.6,14.6,Minimum,Not Minimum,Incorrect TS,Correct TS
NARYEK,0,-13.4,-17.5,8,-63,-4.1,21.4,Minimum,Minimum,Incorrect TS,Correct TS
NASQAZ,0,-14.2,-10.1,12.1,-63,4.1,26.3,Minimum,Minimum,Incorrect TS,Correct TS
NASREE,0,-11,15.9,13.6,-63,26.9,24.6,Minimum,Minimum,Correct TS,Correct TS
NASTUX,0,-15.6,-11.9,10.4,-63,3.7,26,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NASVAF,0,-13.9,-14.3,11.7,-63,-0.4,25.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NASWAI,0,-0.2,14.9,14,-63,15.1,14.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NATDUK,0,-9.2,16.7,12.8,-63,25.8,22,Minimum,Not Minimum,Correct TS,Correct TS
NATGIA,0,-7.3,15.7,13,-63,23,20.3,Not Minimum,Minimum,Correct TS,Correct TS
NATHOG,0,-17.1,3.6,4.9,-63,20.7,21.9,Minimum,Minimum,Correct TS,Correct TS
NATHQU,0,-3.9,19.2,13.8,-63,23.1,17.7,Minimum,Minimum,Correct TS,Correct TS
NATPUT,0,-5.4,10,16.6,-63,15.4,22,Minimum,Minimum,Incorrect TS,Correct TS
NATSEJ,0,-8.8,11.4,8.1,-63,20.2,16.9,Minimum,Minimum,Correct TS,Correct TS
NATSIN,0,-9,11.9,8.5,-63,21,17.5,Minimum,Minimum,Correct TS,Correct TS
NATSOT,0,-11,11.3,7.4,-63,22.3,18.4,Not Minimum,Minimum,Correct TS,Correct TS
NATTIO,0,-8.2,11.8,8.5,-63,20,16.7,Minimum,Minimum,Correct TS,Correct TS
NAVGAT01,0,253.5,-10.2,22.3,-63,-10.2,22.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAVLED,0,1.6,3.6,25.5,-63,3.6,25.5,Minimum,Not Minimum,Incorrect TS,Correct TS
NAVNEE,0,-4.1,-10.9,9.2,-63,-6.9,13.2,Minimum,Not Minimum,Incorrect TS,Correct TS
NAVPOQ,0,-3.9,15.6,11.9,-63,19.5,15.8,Not Minimum,Minimum,Correct TS,Correct TS
NAVQAE,0,-6.9,13.7,8.5,-63,20.6,15.4,Minimum,Not Minimum,Correct TS,Correct TS
NAWHID,0,-6.8,14.3,12.3,-63,21.1,19,Minimum,Minimum,Correct TS,Correct TS
NAWNUV,0,-6.3,-2.9,15.8,-63,3.4,22.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAWRUZ,0,3.3,0.1,24.5,-63,0.1,24.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAXCIA,0,-9.3,-9.4,12.7,-63,-0.1,22,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAXCIY,0,-6.3,14,12.2,-63,20.3,18.5,Minimum,Minimum,Correct TS,Correct TS
NAXJIH,0,-10.2,28.2,7.2,-63,38.4,17.5,Minimum,Minimum,Correct TS,Correct TS
NAXTEM,0,-13,-12.1,11.6,-63,0.9,24.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAYCUO,0,-9,-14.4,9.7,-63,-5.4,18.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAYKIK,0,-8.4,-10.3,11.6,-63,-1.9,20.1,Minimum,Minimum,Incorrect TS,Correct TS
NAYLAB,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAYTAJ,0,-6.9,14.2,10.5,-63,21.1,17.4,Minimum,Minimum,Correct TS,Correct TS
NAZGIG,0,-1434.8,-1641.5,-1606.5,-63,-206.7,-171.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAZKIJ,0,3.6,-7.7,22.6,-63,-7.7,22.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAZPUC,0,-11.7,4.2,7.8,-63,15.9,19.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAZQOV,0,-4.5,-9.7,11.7,-63,-5.2,16.2,Minimum,Minimum,Incorrect TS,Correct TS
NBFURX,0,-18.4,0.6,-7.4,-63,19,10.9,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NBMALC,0,-12.5,-9.9,12.9,-63,2.6,25.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NBZOAO03,0,-8.8,12.9,11.7,-63,21.8,20.5,Minimum,Minimum,Correct TS,Correct TS
NEBBIG,0,-4,-2.5,17.6,-63,1.6,21.6,Minimum,Not Minimum,Incorrect TS,Incorrect TS
NEBFIM,0,-3.2,4.9,25.2,-63,8.1,28.4,Minimum,Minimum,Incorrect TS,Correct TS
NEBPIW,0,-12.4,-31.3,6.9,-63,-18.9,19.2,Minimum,Minimum,Correct TS,Correct TS
NEBSUL,0,-4.3,-9.6,14.1,-63,-5.3,18.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEBULR,0,1.6,-6.9,21.5,-63,-6.9,21.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEBWUM,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
NEBYID,0,-5,-5.5,14,-63,-0.5,19,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NECCAC,0,-11.3,5.5,9.8,-63,16.8,21.1,Minimum,Minimum,Correct TS,Correct TS
NECCEG,0,-11.3,6,9.5,-63,17.3,20.8,Minimum,Minimum,Correct TS,Correct TS
NECFEI,0,-2.3,-2.2,9.1,-63,0,11.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEDJIS,0,-9.6,2.4,7.9,-63,12.1,17.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEDPOB,0,-16.7,0.7,10.9,-63,17.4,27.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEFFOT,0,-24.9,-20.1,-18.1,-63,4.8,6.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NEFGEN,0,-3.1,-5,18.5,-63,-1.9,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEFGOX,0,-12.7,-10.2,13.3,-63,2.5,26,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEFHOY,0,-3.1,-6.7,20.2,-63,-3.6,23.3,Minimum,Minimum,Incorrect TS,Correct TS
NEFMEQ,0,46.5,4.4,23.3,-63,4.4,23.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NEFQOF,0,-3.4,-6.3,14.6,-63,-2.8,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEFQOG,0,-12.3,-15.7,-7.7,-63,-3.4,4.6,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NEFSUN,0,-5.6,17.3,14.6,-63,22.9,20.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEFVEZ,0,-5.2,-9,11.3,-63,-3.8,16.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEGLUG,0,-14.3,16.3,6.1,-63,30.6,20.5,Not Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NEGRUP,0,-9.5,-3.7,10.7,-63,5.8,20.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEGTUO,0,-6.9,-6.2,15.1,-63,0.8,22,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NEGZOO,0,-1,-12,18.8,-63,-11,19.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
NEHBEK,0,-67.6,-43.9,-46.1,-63,23.7,21.4,Not Minimum,Not Minimum,Correct TS,Correct TS
NEHBIO,0,-3.9,20.7,18.4,-63,24.6,22.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEHFIP,0,-8.8,10.2,8.7,-63,19,17.5,Minimum,Minimum,Correct TS,Correct TS
NEHHIT,0,-6.3,-3.6,22.8,-63,2.8,29.1,Not Minimum,Minimum,Correct TS,Correct TS
NEHKIV,0,-6.8,4.2,9.7,-63,10.9,16.4,Minimum,Minimum,Correct TS,Correct TS
NEHQEZ,0,-7.6,12.1,10.5,-63,19.7,18.1,Minimum,Not Minimum,Correct TS,Correct TS
NEHSEA,0,-15.6,5.4,5.9,-63,21,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEJDIS,0,-3.9,-2.2,16,-63,1.7,19.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NEJGAM,0,-8.4,-10.1,9.4,-63,-1.7,17.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEKNIA,0,-4.6,9.7,10.6,-63,14.3,15.1,Minimum,Minimum,Correct TS,Correct TS
NEKRUT,0,-6.2,3.8,12.3,-63,9.9,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEKWAE,0,-32.8,-12.9,-13,-63,19.8,19.8,Not Minimum,Minimum,Correct TS,Correct TS
NELNIC,0,-22.2,-29.9,-4.9,-63,-7.7,17.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NELNID,0,-5.7,11.1,13.3,-63,16.8,19,Minimum,Minimum,Correct TS,Correct TS
NELQEB,0,-7,-30.4,1.6,-63,-23.5,8.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NELTON,0,-2.2,-9.5,19.5,-63,-7.4,21.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NENGAQ,0,-14.5,-11,13,-63,3.4,27.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NENHAP,0,35.9,73.1,58.6,-63,73.1,58.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NENKOH,0,-11.6,7.9,6.5,-63,19.5,18,Minimum,Minimum,Correct TS,Correct TS
NEPNTH,0,-13.5,9.5,10.1,-63,23,23.5,Minimum,Minimum,Correct TS,Correct TS
NEQGEY,0,-6.1,-4.7,12,-63,1.4,18.1,Minimum,Minimum,Incorrect TS,Correct TS
NEQGIC,0,-5.4,-1.9,11,-63,3.5,16.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQGUN,0,-1.2,-5.3,15.4,-63,-4.2,16.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQJEY,0,-0.2,-5.1,13.2,-63,-4.9,13.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQMUT,0,-5.3,17.3,14.9,-63,22.6,20.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NEQNEE,0,-6.2,-6.5,12.6,-63,-0.3,18.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQPAD,0,-14.8,-13,12.1,-63,1.8,26.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQPEG,0,-4.1,-2.4,14.6,-63,1.7,18.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQTEJ,0,-8.3,1,10.9,-63,9.3,19.2,Minimum,Minimum,Incorrect TS,Correct TS
NEQWAJ,0,-4,-3.8,12.9,-63,0.2,16.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NEQXEO,0,-74.6,-54.5,-57.7,-63,20.1,16.9,Not Minimum,Not Minimum,Correct TS,Correct TS
NERDOE,0,-14.3,13,7.7,-63,27.2,22,Minimum,Minimum,Correct TS,Correct TS
NERJOK,0,-4,-6.3,14.2,-63,-2.3,18.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NERLUS,0,-10.2,9.6,11,-63,19.8,21.2,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
NERPEG,0,83.3,-14.9,20,-63,-14.9,20,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NERPIL,0,-26.4,-19.2,-18.8,-63,7.1,7.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NERPUX,0,-15.5,4,4.6,-63,19.5,20.2,Minimum,Minimum,Correct TS,Correct TS
NERROU,0,-5.5,-0.2,12.6,-63,5.3,18.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NERTOV,0,-13.8,-11.8,13.8,-63,2,27.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NERVIQ,0,-6.1,-4.3,15.7,-63,1.8,21.8,Minimum,Minimum,Incorrect TS,Correct TS
NESDOH,0,-15.7,-10.7,14.3,-63,5.1,30,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NESHAV,0,-17.2,49.3,-11.1,-63,66.5,6.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NESKUT,0,-9.7,59.7,16.9,-63,69.4,26.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NESPOR,0,-13.5,-12.3,12.7,-63,1.2,26.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NESSAI,0,-14,-11.4,12.4,-63,2.5,26.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NESTEL,0,-9,11.2,12,-63,20.2,21,Minimum,Minimum,Correct TS,Correct TS
NESTIP,0,-5.4,13,14.1,-63,18.4,19.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NESTUB,0,-0.8,-10.6,10,-63,-9.8,10.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NESVEN,0,-2.1,-5.6,13.4,-63,-3.5,15.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NESYEQ,0,-50.2,-54.3,-29.2,-63,-4,21.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NESYOC,0,-1.1,10,No Value,-63,11,No Value,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
NESZAP,0,-8.7,-15.1,14.4,-63,-6.4,23.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NETJUR04,0,-17.2,-1.9,4.2,-63,15.3,21.4,Minimum,Minimum,Correct TS,Correct TS
NETYAM,0,-11.7,7,6.3,-63,18.7,18,Not Minimum,Minimum,Correct TS,Correct TS
NETZEU,0,-9.7,10.9,10.8,-63,20.6,20.5,Minimum,Minimum,Correct TS,Correct TS
NEVLUX,0,-12.3,15.3,11.2,-63,27.6,23.5,Minimum,Minimum,Correct TS,Correct TS
NEVPEK,0,-105.6,-83.5,-4.1,-63,22.2,101.6,Not Minimum,Minimum,Correct TS,Calc Fail
NEWBOH,0,-2.8,-6,12.9,-63,-3.2,15.6,Minimum,Minimum,Incorrect TS,Correct TS
NEWLIK,0,-4.2,15.8,15.4,-63,20,19.7,Minimum,Minimum,Correct TS,Correct TS
NEWTUH,0,-41.4,-0.3,4,-63,41.1,45.4,Not Minimum,Minimum,Correct TS,Correct TS
NEXJOQ,0,-4,2.8,13.3,-63,6.8,17.3,Minimum,Minimum,Incorrect TS,Correct TS
NEXMEJ,0,2.1,-6.2,61.5,-63,-6.2,61.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
NEXMUA,0,-4.9,7.9,9.8,-63,12.7,14.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEXNAH,0,-2.4,-3.8,21.8,-63,-1.5,24.2,Minimum,Minimum,Incorrect TS,Correct TS
NEXZIZ,0,-9.5,24.4,6.4,-63,33.9,15.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEYJUW,0,2.6,-20.6,19.8,-63,-20.6,19.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
NEYKAD,0,2,-11,23,-63,-11,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
NEYKIN,0,-10.8,8.4,7.6,-63,19.3,18.4,Minimum,Minimum,Correct TS,Correct TS
NEYYUL,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Calc Fail,Calc Fail
NEZKAH,0,-6.2,-12,14.2,-63,-5.8,20.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NEZKEL,0,-5.4,-9.9,14.5,-63,-4.5,20,Minimum,Not Minimum,Incorrect TS,Correct TS
NEZKIM,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Calc Fail,Calc Fail
NEZZAT,0,-9.8,-8.9,8.7,-63,0.9,18.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NHQUSA,0,-8.6,14.1,13.9,-63,22.7,22.5,Minimum,Minimum,Correct TS,Correct TS
NIBCOR,0,-2.6,-10.6,13.2,-63,-8,15.8,Not Minimum,Minimum,Incorrect TS,Correct TS
NIBGEL,0,-2010.2,-2093.4,-2053.7,-63,-83.2,-43.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NIBQOH,0,-403.9,-422.8,-386.5,-63,-18.9,17.3,Not Minimum,Minimum,Incorrect TS,Correct TS
NIBYAY,0,-3.8,-8.3,20.3,-63,-4.5,24.1,Minimum,Minimum,Incorrect TS,Correct TS
NIBYEC,0,-3,-6.7,18.6,-63,-3.8,21.6,Minimum,Minimum,Incorrect TS,Correct TS
NIBYIG,0,-4.3,-10,12.5,-63,-5.7,16.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NICCEH,0,-6.5,9.8,9.9,-63,16.3,16.3,Minimum,Minimum,Correct TS,Correct TS
NICNOE,0,-3.2,14.1,14.1,-63,17.4,17.4,Minimum,Minimum,Correct TS,Correct TS
NIDKAM,0,-12.8,-10.4,14.8,-63,2.3,27.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NIDKAN,0,-9.1,6.6,3.8,-63,15.7,12.9,Minimum,Not Minimum,Correct TS,Correct TS
NIDNAP,0,-13.8,1.1,7,-63,14.8,20.7,Minimum,Minimum,Incorrect TS,Correct TS
NIDNOG,0,-1.2,15.1,11.3,-63,16.4,12.6,Minimum,Minimum,Incorrect TS,Correct TS
NIDZAB,0,-0.9,-9.5,12.4,-63,-8.7,13.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFFIS,0,-12.5,-2,7.8,-63,10.5,20.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFGUE,0,-13.5,-10,12.5,-63,3.5,26,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFHES,0,-6.6,15.3,10.3,-63,21.9,16.8,Minimum,Minimum,Correct TS,Correct TS
NIFJOB,0,-3.4,19.9,13.7,-63,23.3,17.1,Minimum,Minimum,Correct TS,Correct TS
NIFLIY,0,-205.6,-219.1,-184.4,-63,-13.6,21.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFLOE,0,10.7,-15.3,23.1,-63,-15.3,23.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFLUM10,0,-14.5,-6.6,12.4,-63,8,27,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIFVAC,0,-10.4,9.5,9.8,-63,19.9,20.2,Minimum,Minimum,Correct TS,Correct TS
NIFVEG,0,-4,16.6,12.5,-63,20.6,16.5,Minimum,Minimum,Correct TS,Correct TS
NIFVIK,0,-11.4,9.3,9.2,-63,20.7,20.6,Minimum,Minimum,Correct TS,Correct TS
NIFXEF,0,-14.5,0.2,-2.3,-63,14.7,12.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NIGMUO,0,1.8,15,10.5,-63,15,10.5,Minimum,Minimum,Correct TS,Correct TS
NIGNEY,0,-11.7,-1.8,8.8,-63,9.9,20.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIGVIK,0,-7.3,2.3,7.8,-63,9.6,15.1,Minimum,Minimum,Correct TS,Correct TS
NIGZEJ,0,-7,16,12.4,-63,23,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NIHJEV,0,-169.8,-183.4,49.7,-63,-13.6,219.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
NIJDUH,0,-3,-7.9,18.1,-63,-4.9,21.1,Not Minimum,Minimum,Incorrect TS,Correct TS
NIJFAP01,0,-1,-5,18.6,-63,-4,19.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NIJGET,0,-108.4,-114.8,-91.7,-63,-6.4,16.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NIJSUV,0,-3.2,-10.7,14.3,-63,-7.5,17.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NIJVOU,0,-6.5,20.5,15.3,-63,27,21.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NIJWOV,0,-20.2,3.1,-11.4,-63,23.3,8.8,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
